country_long,country_code,id,total_population
Afghanistan,AFG,4,42239854.0
Åland Islands,ALA,248,0.0
Albania,ALB,8,2745972.0
Algeria,DZA,12,45606480.0
American Samoa,ASM,16,43914.0
Andorra,AND,20,80088.0
Angola,AGO,24,36684202.0
Anguilla,AIA,660,0.0
Antarctica,ATA,10,0.0
Antigua and Barbuda,ATG,28,94298.0
Argentina,ARG,32,46654581.0
Armenia,ARM,51,2777970.0
Aruba,ABW,533,106277.0
Australia,AUS,36,26638544.0
Austria,AUT,40,9132383.0
Azerbaijan,AZE,31,10112555.0
Bahamas,BHS,44,412623.0
Bahrain,BHR,48,1485509.0
Bangladesh,BGD,50,172954319.0
Barbados,BRB,52,281995.0
Belarus,BLR,112,9178298.0
Belgium,BEL,56,11822592.0
Belize,BLZ,84,410825.0
Benin,BEN,204,13712828.0
Bermuda,BMU,60,63489.0
Bhutan,BTN,64,787424.0
"Bolivia, Plurinational State of",BOL,68,12388571.0
"Bonaire, Sint Eustatius and Saba",BES,535,0.0
Bosnia and Herzegovina,BIH,70,3210847.0
Botswana,BWA,72,2675352.0
Bouvet Island,BVT,74,0.0
Brazil,BRA,76,216422446.0
British Indian Ocean Territory,IOT,86,0.0
Brunei Darussalam,BRN,96,452524.0
Bulgaria,BGR,100,6430370.0
Burkina Faso,BFA,854,23251485.0
Burundi,BDI,108,13238559.0
Cabo Verde,CPV,132,598682.0
Cambodia,KHM,116,16944826.0
Cameroon,CMR,120,28647293.0
Canada,CAN,124,40097761.0
Cayman Islands,CYM,136,69310.0
Central African Republic,CAF,140,5742315.0
Chad,TCD,148,18278568.0
Chile,CHL,152,19629590.0
China,CHN,156,1410710000.0
Christmas Island,CXR,162,0.0
Cocos (Keeling) Islands,CCK,166,0.0
Colombia,COL,170,52085168.0
Comoros,COM,174,852075.0
Congo,COG,178,6106869.0
"Congo, Democratic Republic of the",COD,180,102262808.0
Cook Islands,COK,184,0.0
Costa Rica,CRI,188,5212173.0
Côte d'Ivoire,CIV,384,28873034.0
Croatia,HRV,191,3853200.0
Cuba,CUB,192,11194449.0
Curaçao,CUW,531,147862.0
Cyprus,CYP,196,1260138.0
Czechia,CZE,203,10873689.0
Denmark,DNK,208,5946952.0
Djibouti,DJI,262,1136455.0
Dominica,DMA,212,73040.0
Dominican Republic,DOM,214,11332972.0
Ecuador,ECU,218,18190484.0
Egypt,EGY,818,112716598.0
El Salvador,SLV,222,6364943.0
Equatorial Guinea,GNQ,226,1714671.0
Eritrea,ERI,232,3748901.0
Estonia,EST,233,1366188.0
Eswatini,SWZ,748,1210822.0
Ethiopia,ETH,231,126527060.0
Falkland Islands (Malvinas),FLK,238,0.0
Faroe Islands,FRO,234,53270.0
Fiji,FJI,242,936375.0
Finland,FIN,246,5584264.0
France,FRA,250,68170228.0
French Guiana,GUF,254,0.0
French Polynesia,PYF,258,308872.0
French Southern Territories,ATF,260,0.0
Gabon,GAB,266,2436566.0
Gambia,GMB,270,2773168.0
Georgia,GEO,268,3760365.0
Germany,DEU,276,84482267.0
Ghana,GHA,288,34121985.0
Gibraltar,GIB,292,32688.0
Greece,GRC,300,10361295.0
Greenland,GRL,304,56865.0
Grenada,GRD,308,126183.0
Guadeloupe,GLP,312,0.0
Guam,GUM,316,172952.0
Guatemala,GTM,320,17602431.0
Guernsey,GGY,831,0.0
Guinea,GIN,324,14190612.0
Guinea-Bissau,GNB,624,2150842.0
Guyana,GUY,328,813834.0
Haiti,HTI,332,11724763.0
Heard Island and McDonald Islands,HMD,334,0.0
Holy See,VAT,336,0.0
Honduras,HND,340,10593798.0
Hong Kong,HKG,344,7536100.0
Hungary,HUN,348,9589872.0
Iceland,ISL,352,393600.0
India,IND,356,1428627663.0
Indonesia,IDN,360,277534122.0
"Iran, Islamic Republic of",IRN,364,89172767.0
Iraq,IRQ,368,45504560.0
Ireland,IRL,372,5262382.0
Isle of Man,IMN,833,84710.0
Israel,ISR,376,9756700.0
Italy,ITA,380,58761146.0
Jamaica,JAM,388,2825544.0
Japan,JPN,392,124516650.0
Jersey,JEY,832,0.0
Jordan,JOR,400,11337052.0
Kazakhstan,KAZ,398,19900177.0
Kenya,KEN,404,55100586.0
Kiribati,KIR,296,133515.0
"Korea, Democratic People's Republic of",PRK,408,26160821.0
"Korea, Republic of",KOR,410,51712619.0
Kuwait,KWT,414,4310108.0
Kyrgyzstan,KGZ,417,7100800.0
